d,m,topk,relmse,caterr
2,3000,100,95.77036185903806,81
5,3000,100,64.55662201834703,74
10,3000,100,37.22797176915652,12
20,3000,100,15.784422258739628,8
30,3000,100,7.9925173488590975,7
50,3000,100,3.1957821577918426,7
70,3000,100,1.7291810536485024,8
90,3000,100,1.0718632168035787,6
100,3000,100,0.8720069170473872,7
120,3000,100,0.6265706878306917,6
150,3000,100,0.4067878571039318,8
180,3000,100,4.6238843737069475,8
210,3000,100,0.2096635395256497,8
250,3000,100,0.15015319779887584,7
270,3000,100,3.9957350639666425,7
300,3000,100,3.7492812325315463,6
350,3000,100,3.417485664592163,8
400,3000,100,3.2567640987215487,8
450,3000,100,3.310834180054868,5
500,3000,100,3.186206296538372,8
650,3000,100,2.8782904390635538,7
600,3000,100,3.0343316773793685,7
700,3000,100,2.8870442447319076,5
800,3000,100,2.761345427386762,6
1000,3000,100,2.958479260150095,7
1500,3000,100,6.635604450421286,7
2000,3000,100,8.526701184759927,6
2500,3000,100,11.424886274935819,8
